country,area,sex,agegroup,educ,hhsize_grp,pop_count,pop_count_se,pop_prop
DE,Bayern,Female,30-34,1-PrimaryOrLess,1p.,0,0,0
DE,Bayern,Female,30-34,1-PrimaryOrLess,2pp.,0,0,0
DE,Bayern,Female,30-34,1-PrimaryOrLess,3pp.+,0,0,0
DE,Bayern,Female,30-34,2-Secondary,1p.,0,0,0
DE,Bayern,Female,30-34,2-Secondary,2pp.,70198.63373569492,49637.92994454063,0.0010230738284642098
DE,Bayern,Female,30-34,2-Secondary,3pp.+,175496.5843392373,60793.800126071124,0.002557684571160524
DE,Bayern,Female,30-34,3-GraduateOrMore,1p.,0,0,0
DE,Bayern,Female,30-34,3-GraduateOrMore,2pp.,42990.76117309277,30399.058753865233,6.26546704420858e-4
DE,Bayern,Female,30-34,3-GraduateOrMore,3pp.+,64486.141759639155,37231.091303928035,9.39820056631287e-4
DE,Bayern,Female,35-39,1-PrimaryOrLess,1p.,0,0,0
DE,Bayern,Female,35-39,1-PrimaryOrLess,2pp.,0,0,0
DE,Bayern,Female,35-39,1-PrimaryOrLess,3pp.+,0,0,0
DE,Bayern,Female,35-39,2-Secondary,1p.,0,0,0
DE,Bayern,Female,35-39,2-Secondary,2pp.,0,0,0
DE,Bayern,Female,35-39,2-Secondary,3pp.+,202244.5015973046,88177.3208515036,0.002947508313538292
DE,Bayern,Female,35-39,3-GraduateOrMore,1p.,0,0,0
DE,Bayern,Female,35-39,3-GraduateOrMore,2pp.,0,0,0
DE,Bayern,Female,35-39,3-GraduateOrMore,3pp.+,60399.63938954586,34871.74806051063,8.802634327724733e-4
DE,Bayern,Female,40-44,1-PrimaryOrLess,1p.,79353.55885847565,79353.55885847565,0.0011564975690163553
DE,Bayern,Female,40-44,1-PrimaryOrLess,2pp.,0,0,0
DE,Bayern,Female,40-44,1-PrimaryOrLess,3pp.+,79353.55885847565,79353.55885847565,0.0011564975690163553
DE,Bayern,Female,40-44,2-Secondary,1p.,0,0,0
DE,Bayern,Female,40-44,2-Secondary,2pp.,60703.762822485325,42924.04233531921,8.846957230936003e-4
DE,Bayern,Female,40-44,2-Secondary,3pp.+,372653.70468950825,114677.76816302467,0.005431049467195048
DE,Bayern,Female,40-44,3-GraduateOrMore,1p.,0,0,0
DE,Bayern,Female,40-44,3-GraduateOrMore,2pp.,0,0,0
DE,Bayern,Female,40-44,3-GraduateOrMore,3pp.+,120799.27877909172,69743.49612102126,0.0017605268655449466
DE,Bayern,Female,45-49,1-PrimaryOrLess,1p.,0,0,0
DE,Bayern,Female,45-49,1-PrimaryOrLess,2pp.,0,0,0
DE,Bayern,Female,45-49,1-PrimaryOrLess,3pp.+,0,0,0
DE,Bayern,Female,45-49,2-Secondary,1p.,30351.881411242663,30351.881411242663,4.4234786154680015e-4
DE,Bayern,Female,45-49,2-Secondary,2pp.,111188.85736357661,61557.84273554199,0.0016204647288978915
DE,Bayern,Female,45-49,2-Secondary,3pp.+,423138.79923059954,97158.71474223427,0.0061668184729993395
